18050636, 92:5c:14:ad:93:21, "UPC Wi-Free", -82
18050636, e4:3e:d7:42:f7:29, "tji-59218", -94
18050636, 90:5c:44:a8:34:97, "UPC17E648D", -92
18050636, 90:5c:44:ad:93:21, "UPCF2C6A3A", -82
18050636, 90:5c:44:53:0d:d1, "UPC578B7A3", -84
18050640, 92:5c:14:a8:34:97, "UPC Wi-Free", -92
18050640, b0:7f:b9:3e:f1:f1, "apzuzu6_EXT", -72
18050640, 38:43:7d:88:b7:fc, "UPC2203812", -93
18050640, ce:50:e3:2e:85:7e, "apzuzu6_EXT3", -76
18050640, 6e:b0:ce:f7:f0:f6, "UPC72E5C4E_EXT", -86
18050640, 38:2c:4a:4e:d3:d8, "apzuzu6", -68
18050640, 90:5c:44:a8:34:97, "UPC17E648D", -91
18050640, 3a:43:1d:88:b7:fc, "UPC Wi-Free", -87
18050640, e4:57:40:d4:7b:9b, "GafferNetwork", -89
18050640, 3c:37:86:c6:7d:da, "apzuzu6_EXT2", -66
18050640, 92:5c:14:ad:93:21, "UPC Wi-Free", -84
18050640, e4:3e:d7:42:f7:29, "tji-59218", -94
18050641, 90:5c:44:ad:93:21, "UPCF2C6A3A", -83
18050641, 92:5c:14:53:0d:d1, "UPC Wi-Free", -83
18050641, 90:5c:44:53:0d:d1, "UPC578B7A3", -83
18050644, b0:7f:b9:3e:f1:f1, "apzuzu6_EXT", -71
18050644, 78:d3:8d:fc:e9:a9, "RCProductions-EXT", -86
18050645, ce:50:e3:2e:85:7e, "apzuzu6_EXT3", -69
18050645, 54:67:51:bd:4d:be, "UPCC81FA2A", -88
18050645, 38:2c:4a:4e:d3:d8, "apzuzu6", -69
18050645, 7a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Ariane", -86
18050645, ec:f4:51:ea:58:46, "mhj-86336", -88
18050645, 8a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Yasmine", -84
18050645, 3c:37:86:c6:7d:da, "apzuzu6_EXT2", -66
18050645, 92:5c:14:ad:93:21, "UPC Wi-Free", -87
18050645, e4:3e:d7:42:f7:29, "tji-59218", -90
18050645, 56:67:11:bd:4d:be, "UPC Wi-Free", -90
18050645, 90:5c:44:ad:93:21, "UPCF2C6A3A", -86
18050645, 90:5c:44:53:0d:d1, "UPC578B7A3", -84
18050649, b0:7f:b9:3e:f1:f1, "apzuzu6_EXT", -71
18050649, 8a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Yasmine", -86
18050649, ce:50:e3:2e:85:7e, "apzuzu6_EXT3", -68
18050649, 54:67:51:bd:4d:be, "UPCC81FA2A", -91
18050649, 38:2c:4a:4e:d3:d8, "apzuzu6", -70
18050649, 7a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Ariane", -86
18050649, 78:d3:8d:fc:e9:a9, "RCProductions-EXT", -86
18050649, 92:5c:14:ad:93:21, "UPC Wi-Free", -87
18050649, 3c:37:86:c6:7d:da, "apzuzu6_EXT2", -70
18050649, 90:5c:44:ad:93:21, "UPCF2C6A3A", -88
18050649, e4:3e:d7:42:f7:29, "tji-59218", -93
18050649, 56:67:11:bd:4d:be, "UPC Wi-Free", -93
18050649, 6e:b0:ce:f7:f0:f6, "UPC72E5C4E_EXT", -86
18050649, 90:5c:44:53:0d:d1, "UPC578B7A3", -84
18050653, b0:7f:b9:3e:f1:f1, "apzuzu6_EXT", -71
18050653, ce:50:e3:2e:85:7e, "apzuzu6_EXT3", -71
18050653, 92:5c:14:53:0d:d1, "UPC Wi-Free", -79
